Country,Corrected,Info,
Mauritania,40000,4.000%,
Uzbekistan,39729,3.9729%,
Haiti,23041, 2.3041%,
Qatar,13563,1.3563%,
India,11409,1.1409%,
Pakistan,11300,1.1300%,
Democratic Republic of the Congo,11300,1.1300%,
Sudan,11300,1.1300%,
Syria,11300,1.1300%,
Central African Republic,11300,1.1300%,
Republic of the Congo,11061,1.1061%,
United Arab Emirates,10572,1.0572%,
Iraq,10351,1.0351%,
Cambodia,10292,1.0292%,
Moldova,9362,0.9362%,
Mongolia,9068,0.9068%,
Namibia,9068,0.9068%,
Botswana,9068,0.9068%,
Suriname,9068,0.9068%,
Nepal,8227,hj,
Ghana,7456,hj,
Mozambique,7456,hj,
Niger,7456,hj,
Burkina Faso,7456,hj,
Malawi,7456,hj,
Zambia,7456,hj,
Senegal,7456,hj,
Benin,7456,hj,
Togo,7456,hj,
Liberia,7456,v,
Lesotho,7456,hj,
Russia,7456,hj,
Tanzania,7114,hj,
C̫te d'Ivoire,7114,hj,
Mali,7114,hj,
Chad,7114,hj,
Rwanda,7114,hj,
Guinea,7114,hj,
South Sudan,7114,hj,
Burundi,7114,hj,
Sierra Leone,7114,hj,
Gambia,7114,hj,
Djibouti,7114,hj,
Thailand,7093,hj,
Oman,7093,hj,
Kuwait,7093,hj,
Bahrain,7093,hj,
Brunei,7093,hj,
Cape Verde,6368,hj,
Swaziland,5359,hj,
Guinea-Bissau,5001,hj,
Nigeria,4805,hj,
Egypt,4800,hj,
Algeria,4800,hj,
Morocco,4800,hj,
Malaysia,4800,hj,
Jordan,4800,hj,
Lebanon,4800,hj,
Bangladesh,4348,hj,
Iran,4348,hj,
Myanmar,4348,hj,
Afghanistan,4348,hj,
North Korea,4348,hj,
Yemen,4348,hj,
Angola,4348,hj,
Zimbabwe,4348,hj,
Somalia,4348,hj,
Eritrea,4348,hj,
Libya,4348,hj,
Equatorial Guinea,4348,hj,
Ethiopia,4141,hj,
Guyana,3870,hj,
Bulgaria,3797,hj,
Czech Republic,3600,hj,
Hungary,3600,hj,
Serbia,3600,hj,
Slovakia,3600,hj,
Georgia,3600,hj,
Croatia,3600,hj,
Bosnia and Herzegovina,3600,hj,
Armenia,3600,hj,
Lithuania,3600,hj,
Albania,3600,hj,
Macedonia,3600,hj,
Slovenia,3600,hj,
Estonia,3600,hj,
Cyprus,3600,hj,
Montenegro,3600,hj,
Vietnam,3592,hj,
Uganda,3592,hj,
Cameroon,3592,hj,
Sri Lanka,3592,hj,
Kazakhstan,3592,hj,
Azerbaijan,3592,hj,
Tajikistan,3592,hj,
Laos,3592,hj,
Kyrgyzstan,3592,hj,
Turkmenistan,3592,hj,
Timor-Leste,3404,hj,
Tunisia,2919,hj,
Indonesia,2858,hj,
Philippines,2655,hj,
Mauritius,2541,hj,
Turkey,2476,hj,
Ukraine,2476,hj,
Kosovo,2476,hj,
Gabon,2476,hj,
China,2476,hj,
Papua New Guinea,2300,hj,
Mexico,2182,hj,
Colombia,2182,hj,
Peru,2182,hj,
Ecuador,2182,hj,
Guatemala,2182,hj,
Bolivia,2182,hj,
Honduras,2182,hj,
Paraguay,2182,hj,
El Salvador,2182,hj,
Nicaragua,2182,hj,
Chile,2095,hj,
Costa Rica,2095,hj,
Panama,2095,hj,
Uruguay,2095,hj,
Venezuela,2002,hj,
South Africa,2001,hj,
Japan,1865,hj,
South Korea,1865,hj,
Argentina,1865,hj,
Poland,1865,hj,
Hong Kong,1865,hj,
Dominican Republic,1865,hj,
Trinidad and Tobago,1865,hj,
Jamaica,1548,hj,
Barbados,1488,hj,
Kenya,1464,hj,
Madagascar,1326,hj,
Belarus,1215,hj,
Romania,1132,hj,
Latvia,1132,hj,
Singapore,998,hj,
Israel,806,hj,
Brazil,775,hj,
Cuba,362,hj,
United States,190,hj,
Italy,190,hj,
Germany,130,hj,
France,130,hj,
United Kingdom,130,hj,
Spain,130,hj,
Canada,130,hj,
Taiwan,130,hj,
Australia,130,hj,
Netherlands,130,hj,
Belgium,130,hj,
Greece,130,hj,
Portugal,130,hj,
Sweden,130,hj,
Austria,130,hj,
Switzerland,130,hj,
Denmark,130,hj,
Finland,130,hj,
Norway,130,hj,
New Zealand,130,hj,
Luxembourg,130,hj,
Ireland,70,hj,
Iceland,79,hj,
