year,New Infections,Deaths,
1990,40000,1100,
1991,150000,3600,
1992,120000,8600,
1993,90000,16000,
1994,64000,25000,
1995,49000,34000,
1996,41000,42000,
1997,34000,49000,
1998,24000,48000,
1999,16000,55000,
2000,14000,56000,
2001,20000,52000,
2002,32000,47000,
2003,38000,39000,
2004,36000,27000,
2005,30000,21000,
2006,24000,21000,
2007,19000,25000,
2008,15000,28000,
2009,13000,28000,
2010,11000,,
2011,9700,,
